"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"1",925,"12/01/95 00:00:00",1330000012,13,0,129000,1208582,0,2337,345,0,0,31388,0,0,0,0,0,0,"","09/01/21 18:08:36"
"2",764,"08/01/99 00:00:00",1330000012,13,0,129000,539888,0,2788,211,0,0,24546,-2816,2816,0,0,0,0,"","09/01/21 18:08:36"
"3",779,"08/01/99 00:00:00",1330000017,32,0,145000,0,0,0,0,217,0,7214,0,0,0,0,7572,0,"","09/01/21 18:08:36"
"4",21568,"12/01/95 00:00:00",290000002,3,0,112300,206311,10288267,46854,18187,10199,0,1030783,0,0,0,189918,0,0,"","07/20/05 00:00:00"
"5",4550,"09/01/99 00:00:00",1330000002,35,0,145000,0,831907,5516,1532,1050,0,114263,12756,0,0,0,1967962,0,"","09/01/21 18:08:36"
"6",4546,"09/01/99 00:00:00",1330000018,15,0,129000,2827,0,0,0,0,0,13,0,0,0,0,0,0,"","09/01/21 18:08:36"
"7",4524,"09/01/99 00:00:00",1330000020,37,0,145000,0,0,0,1892,4444,0,24388,5370,0,-1037,0,26709,0,"","09/01/21 18:08:36"
"8",4103,"10/01/99 00:00:00",2830000001,21,0,110500,2605856,0,0,0,0,0,11873,0,0,0,0,0,0,"","09/01/21 18:08:36"
"9",4159,"10/01/99 00:00:00",1330000013,14,0,129000,318801,0,0,0,0,0,1303,0,0,-84846,0,0,0,"","09/01/21 18:08:36"
"10",4168,"10/01/99 00:00:00",1330000023,38,0,145000,0,0,0,4991,186,0,113147,30773,87176,-2180,0,0,0,"","09/01/21 18:08:36"
"11",3728,"11/01/99 00:00:00",1330000008,28,0,145000,0,0,0,0,0,0,1276,0,1276,-19,0,9,0,"","09/01/21 18:08:36"
"12",3753,"11/01/99 00:00:00",290000007,7,0,110500,2979313,14073431,18474,25591,28115,67309,2759253,0,21612254,-1660768,2979313,0,0,"","02/24/10 00:00:00"
"13",21684,"07/01/05 00:00:00",1030000017,20,0,134200,0,2574607,8282,1785,23757,0,411052,0,0,0,0,0,0,"","08/19/05 00:00:00"
"14",1163,"12/01/99 00:00:00",1330000007,27,0,145000,0,0,0,0,217,0,17086,0,0,-16988,0,9,0,"","09/01/21 18:08:36"
"15",1169,"12/01/99 00:00:00",1330000012,13,0,129000,1112751,0,0,145,0,0,36954,-77704,77704,0,0,0,0,"","09/01/21 18:08:36"
"16",1191,"12/01/99 00:00:00",290000029,7,0,110500,0,0,0,2310,18960,0,825670,0,392208,-25039309,0,0,0,"","02/24/10 00:00:00"
"17",1199,"12/01/99 00:00:00",1330000024,17,0,129000,51458,0,0,0,0,0,695,0,0,0,0,0,0,"","09/01/21 18:08:36"
"18",1201,"12/01/99 00:00:00",2830000007,36,0,145000,3639,0,0,0,0,0,523,0,0,0,0,0,0,"","09/01/21 18:08:36"
"19",1528,"01/01/00 00:00:00",1330000005,27,0,145000,0,0,119,0,217,0,35842,0,0,-46885,0,0,0,"","09/01/21 18:08:36"
"20",1531,"01/01/00 00:00:00",1330000006,27,0,145000,0,0,566,142,620,0,42978,0,0,-15623,0,239,0,"","09/01/21 18:08:36"
"21",1058,"02/01/00 00:00:00",290000009,9,0,110500,155524,9374935,0,746,11581,4649,844668,74609,0,0,155524,0,0,"","02/24/10 00:00:00"
"22",1055,"02/01/00 00:00:00",290000031,7,0,112300,0,0,0,19639,26493,0,884764,0,0,-66343567,0,0,0,"","09/01/21 18:08:36"
"23",2832,"03/01/00 00:00:00",290000033,7,0,112300,0,0,5486,2165,16461,0,562952,0,0,-26986548,0,0,0,"","09/01/21 18:08:36"
"24",2837,"03/01/00 00:00:00",1330000019,16,0,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,"","09/01/21 18:08:36"
